length_interval,file_name,pair_amount,no_co_occurrence_amount
bn_0_5,cnn_0052.v4_gold_conll,3,2
bn_0_5,cnn_0057.v4_gold_conll,2,1
bn_0_5,cnn_0064.v4_gold_conll,4,4
bn_0_5,cnn_0092.v4_gold_conll,2,2
bn_0_5,cnn_0102.v4_gold_conll,2,1
bn_0_5,cnn_0122.v4_gold_conll,2,2
bn_0_5,cnn_0177.v4_gold_conll,4,1
bn_0_5,cnn_0193.v4_gold_conll,4,3
bn_0_5,cnn_0214.v4_gold_conll,4,2
bn_0_5,cnn_0262.v4_gold_conll,2,2
bn_0_5,cnn_0421.v4_gold_conll,4,2
bn_0_5,nbc_0017.v4_gold_conll,2,2
bn_0_5,pri_0008.v4_gold_conll,3,3
bn_0_5,voa_0013.v4_gold_conll,3,2
bn_0_5,voa_0017.v4_gold_conll,1,1
bn_0_5,voa_0034.v4_gold_conll,2,1
bn_0_5,voa_0043.v4_gold_conll,0,0
bn_0_5,voa_0046.v4_gold_conll,4,1
bn_0_5,voa_0058.v4_gold_conll,3,2
bn_0_5,voa_0087.v4_gold_conll,3,1
bn_0_5,voa_0104.v4_gold_conll,3,3
bn_0_5,voa_0112.v4_gold_conll,2,2
bn_0_5,voa_0125.v4_gold_conll,1,1
bn_0_5,voa_0127.v4_gold_conll,3,2
bn_0_5,voa_0162.v4_gold_conll,1,1
bn_0_5,voa_0182.v4_gold_conll,1,1
bn_0_5,voa_0184.v4_gold_conll,3,3
bn_0_5,voa_0203.v4_gold_conll,1,1
bn_0_5,voa_0208.v4_gold_conll,2,2
bn_0_5,voa_0258.v4_gold_conll,1,1
bn_10_15,cnn_0005.v4_gold_conll,11,7
bn_10_15,cnn_0067.v4_gold_conll,14,7
bn_10_15,cnn_0111.v4_gold_conll,11,6
bn_10_15,cnn_0145.v4_gold_conll,12,4
bn_10_15,cnn_0156.v4_gold_conll,10,5
bn_10_15,cnn_0246.v4_gold_conll,10,4
bn_10_15,cnn_0263.v4_gold_conll,11,8
bn_10_15,cnn_0275.v4_gold_conll,13,5
bn_10_15,cnn_0356.v4_gold_conll,11,4
bn_10_15,cnn_0361.v4_gold_conll,10,7
bn_10_15,cnn_0364.v4_gold_conll,13,9
bn_10_15,cnn_0381.v4_gold_conll,13,4
bn_10_15,cnn_0384.v4_gold_conll,14,4
bn_10_15,cnn_0417.v4_gold_conll,11,7
bn_10_15,cnn_0422.v4_gold_conll,11,5
bn_10_15,mnb_0002.v4_gold_conll,12,6
bn_10_15,mnb_0005.v4_gold_conll,14,10
bn_10_15,pri_0007.v4_gold_conll,12,5
bn_10_15,pri_0018.v4_gold_conll,11,6
bn_10_15,pri_0025.v4_gold_conll,12,9
bn_10_15,pri_0032.v4_gold_conll,10,6
bn_10_15,pri_0034.v4_gold_conll,13,6
bn_10_15,pri_0102.v4_gold_conll,11,5
bn_10_15,voa_0024.v4_gold_conll,14,9
bn_10_15,voa_0032.v4_gold_conll,14,8
bn_10_15,voa_0113.v4_gold_conll,12,10
bn_10_15,voa_0117.v4_gold_conll,12,6
bn_10_15,voa_0122.v4_gold_conll,10,5
bn_10_15,voa_0246.v4_gold_conll,14,11
bn_10_15,voa_0252.v4_gold_conll,10,3
bn_15_20,abc_0007.v4_gold_conll,18,7
bn_15_20,abc_0016.v4_gold_conll,18,9
bn_15_20,abc_0048.v4_gold_conll,17,4
bn_15_20,abc_0067.v4_gold_conll,15,8
bn_15_20,cnn_0058.v4_gold_conll,17,2
bn_15_20,cnn_0096.v4_gold_conll,15,4
bn_15_20,cnn_0147.v4_gold_conll,15,2
bn_15_20,cnn_0175.v4_gold_conll,15,10
bn_15_20,cnn_0185.v4_gold_conll,16,3
bn_15_20,cnn_0231.v4_gold_conll,16,7
bn_15_20,cnn_0245.v4_gold_conll,16,9
bn_15_20,cnn_0252.v4_gold_conll,18,2
bn_15_20,cnn_0267.v4_gold_conll,17,10
bn_15_20,cnn_0337.v4_gold_conll,17,10
bn_15_20,cnn_0374.v4_gold_conll,17,6
bn_15_20,cnn_0386.v4_gold_conll,18,13
bn_15_20,mnb_0007.v4_gold_conll,17,7
bn_15_20,mnb_0016.v4_gold_conll,15,10
bn_15_20,nbc_0003.v4_gold_conll,15,3
bn_15_20,nbc_0005.v4_gold_conll,19,12
bn_15_20,nbc_0014.v4_gold_conll,15,7
bn_15_20,nbc_0015.v4_gold_conll,17,7
bn_15_20,nbc_0028.v4_gold_conll,15,7
bn_15_20,voa_0014.v4_gold_conll,16,11
bn_15_20,voa_0074.v4_gold_conll,16,13
bn_15_20,voa_0181.v4_gold_conll,17,12
bn_15_20,voa_0212.v4_gold_conll,18,13
bn_15_20,voa_0231.v4_gold_conll,18,8
bn_15_20,voa_0245.v4_gold_conll,18,12
bn_15_20,voa_0253.v4_gold_conll,16,13
bn_20_25,abc_0003.v4_gold_conll,23,17
bn_20_25,abc_0005.v4_gold_conll,20,9
bn_20_25,abc_0017.v4_gold_conll,23,11
bn_20_25,abc_0018.v4_gold_conll,21,6
bn_20_25,abc_0028.v4_gold_conll,23,9
bn_20_25,abc_0041.v4_gold_conll,24,7
bn_20_25,abc_0042.v4_gold_conll,21,6
